Year,Timeframe,Week, Counts (31 counters) ,Covid Period, Pedestrians (14 counters) , Bikes (14 counters) ,,,,,,,,,,,,,,,,
2019,Week 1,30/12/2018," 167,679 ",N," 68,957 "," 63,100 ",,,,,,,,,,,,,,,,
2019,Week 2,06/01/2019," 82,340 ",N," 34,778 "," 31,703 ",,,,,,,,,,,,,,,,
2019,Week 3,13/01/2019," 62,315 ",N," 32,065 "," 18,082 ",,,,,,,,,,,,,,,,
2019,Week 4,20/01/2019," 75,801 ",N," 35,016 "," 26,280 ",,,,,,,,,,,,,,,,
2019,Week 5,27/01/2019," 75,841 ",N," 33,627 "," 24,447 ",,,,,,,,,,,,,,,,
2019,Week 6,03/02/2019," 79,780 ",N," 35,217 "," 28,308 ",,,,,,,,,,,,,,,,
2019,Week 7,10/02/2019," 65,732 ",N," 32,171 "," 21,176 ",,,,,,,,,,,,,,,,
2019,Week 8,17/02/2019," 69,492 ",N," 36,288 "," 22,085 ",,,,,,,,,,,,,,,,
2019,Week 9,24/02/2019," 85,688 ",N," 44,410 "," 28,591 ",,,,,,,,,,,,,,,,
2019,Week 10,03/03/2019," 84,512 ",N," 65,887 "," 31,425 ",,,,,,,,,,,,,,,,
2019,Week 11,10/03/2019," 107,995 ",N," 23,076 "," 36,968 ",,,,,,,,,,,,,,,,
2019,Week 12,17/03/2019," 125,440 ",Y," 30,298 "," 20,937 ",,,,,,,,,,,,,,,,
2019,Week 13,24/03/2019," 136,330 ",Y," 68,805 "," 43,560 ",,,,,,,,,,,,,,,,
2019,Week 14,31/03/2019," 118,784 ",Y," 62,779 "," 22,880 ",,,,,,,,,,,,,,,,
2019,Week 15,07/04/2019," 132,033 ",Y," 83,893 "," 65,750 ",,,,,,,,,,,,,,,,
2019,Week 16,14/04/2019," 133,267 ",Y," 71,677 "," 44,026 ",,,,,,,,,,,,,,,,
2019,Week 17,21/04/2019," 165,777 ",Y," 87,834 "," 45,732 ",,,,,,,,,,,,,,,,
2019,Week 18,28/04/2019," 166,356 ",Y," 88,284 "," 50,538 ",,,,,,,,,,,,,,,,
2019,Week 19,05/05/2019," 171,049 ",Y," 94,980 "," 53,183 ",,,,,,,,,,,,,,,,
2019,Week 20,12/05/2019," 178,534 ",Y," 100,251 "," 52,169 ",,,,,,,,,,,,,,,,
2019,Week 21,19/05/2019," 191,319 ",Y," 179,060 "," 64,922 ",,,,,,,,,,,,,,,,
2019,Week 22,26/05/2019," 240,507 ",Y," 132,357 "," 77,048 ",,,,,,,,,,,,,,,,
2019,Week 23,02/06/2019," 211,380 ",Y," 97,451 "," 81,672 ",,,,,,,,,,,,,,,,
2019,Week 24,09/06/2019," 214,729 ",Y," 94,747 "," 91,417 ",,,,,,,,,,,,,,,,
2019,Week 25,16/06/2019," 202,847 ",Y," 87,304 "," 85,124 ",,,,,,,,,,,,,,,,
2019,Week 26,23/06/2019," 202,445 ",Y," 84,230 "," 88,284 ",,,,,,,,,,,,,,,,
2019,Week 27,30/06/2019," 184,658 ",Y," 68,866 "," 85,466 ",,,,,,,,,,,,,,,,
2019,Week 28,07/07/2019," 185,302 ",Y," 69,626 "," 85,130 ",,,,,,,,,,,,,,,,
2019,Week 29,14/07/2019," 166,125 ",Y," 64,104 "," 76,352 ",,,,,,,,,,,,,,,,
2019,Week 30,21/07/2019," 208,809 ",Y," 85,786 "," 90,580 ",,,,,,,,,,,,,,,,
2019,Week 31,28/07/2019," 197,005 ",Y," 81,182 "," 86,638 ",,,,,,,,,,,,,,,,
2019,Week 32,04/08/2019," 180,605 ",Y," 71,150 "," 76,065 ",,,,,,,,,,,,,,,,
2019,Week 33,11/08/2019," 191,450 ",Y," 90,778 "," 73,885 ",,,,,,,,,,,,,,,,
2019,Week 34,18/08/2019," 168,754 ",Y," 61,826 "," 73,714 ",,,,,,,,,,,,,,,,
2019,Week 35,25/08/2019," 176,624 ",Y," 69,618 "," 73,190 ",,,,,,,,,,,,,,,,
2019,Week 36,01/09/2019," 184,806 ",Y," 73,657 "," 76,248 ",,,,,,,,,,,,,,,,
2019,Week 37,08/09/2019," 157,345 ",Y," 64,835 "," 63,340 ",,,,,,,,,,,,,,,,
2019,Week 38,15/09/2019," 152,527 ",Y," 56,589 "," 64,556 ",,,,,,,,,,,,,,,,
2019,Week 39,22/09/2019," 141,072 ",Y," 51,308 "," 60,301 ",,,,,,,,,,,,,,,,
2019,Week 40,29/09/2019," 135,881 ",Y," 57,862 "," 52,573 ",,,,,,,,,,,,,,,,
2019,Week 41,06/10/2019," 132,239 ",Y," 59,866 "," 45,322 ",,,,,,,,,,,,,,,,
2019,Week 42,13/10/2019," 110,816 ",Y," 50,785 "," 39,078 ",,,,,,,,,,,,,,,,
2019,Week 43,20/10/2019," 110,761 ",Y," 50,692 "," 39,398 ",,,,,,,,,,,,,,,,
2019,Week 44,27/10/2019," 109,795 ",Y," 54,306 "," 37,277 ",,,,,,,,,,,,,,,,
2019,Week 45,03/11/2019," 109,766 ",Y," 58,888 "," 34,454 ",,,,,,,,,,,,,,,,
2019,Week 46,10/11/2019," 86,824 ",Y," 46,887 "," 28,255 ",,,,,,,,,,,,,,,,
2019,Week 47,17/11/2019," 88,122 ",Y,,,,,,,,,,,,,,,,,,
2019,Week 48,24/11/2019," 72,380 ",Y,,,,,,,,,,,,,,,,,,
2019,Week 49,01/12/2019," 81,871 ",Y,,,,,,,,,,,,,,,,,,
2019,Week 50,08/12/2019," 68,364 ",Y,,,,,,,,,,,,,,,,,,
2020,Week 1,29/12/2019," 183,546 ",N," 93,654 "," 47,315 ",,,,,,,,,,,,,,,,
2020,Week 2,05/01/2020," 97,140 ",N," 46,964 "," 25,980 ",,,,,,,,,,,,,,,,
2020,Week 3,12/01/2020," 75,782 ",N," 38,302 "," 19,569 ",,,,,,,,,,,,,,,,
2020,Week 4,19/01/2020," 83,809 ",N," 41,506 "," 22,907 ",,,,,,,,,,,,,,,,
2020,Week 5,26/01/2020," 94,738 ",N," 46,335 "," 25,713 ",,,,,,,,,,,,,,,,
2020,Week 6,02/02/2020," 153,555 ",N," 67,437 "," 34,427 ",,,,,,,,,,,,,,,,
2020,Week 7,09/02/2020," 130,351 ",N," 50,846 "," 32,574 ",,,,,,,,,,,,,,,,
2020,Week 8,16/02/2020," 149,876 ",N," 69,353 "," 47,713 ",,,,,,,,,,,,,,,,
2020,Week 9,23/02/2020," 141,250 ",N," 64,508 "," 44,536 ",,,,,,,,,,,,,,,,
2020,Week 10,01/03/2020," 167,528 ",N," 64,326 "," 63,555 ",,,,,,,,,,,,,,,,
2020,Week 11,08/03/2020," 210,182 ",N," 85,501 "," 71,976 ",,,,,,,,,,,,,,,,
2020,Week 12,15/03/2020," 367,795 ",Y," 117,152 "," 94,145 ",,,,,,,,,,,,,,,,
2020,Week 13,22/03/2020," 372,783 ",Y," 106,175 "," 69,574 ",,,,,,,,,,,,,,,,
2020,Week 14,29/03/2020," 280,728 ",Y," 113,005 "," 73,814 ",,,,,,,,,,,,,,,,
2020,Week 15,05/04/2020," 419,160 ",Y," 107,420 "," 81,686 ",,,,,,,,,,,,,,,,
2020,Week 16,12/04/2020," 241,810 ",Y," 122,291 "," 81,775 ",,,,,,,,,,,,,,,,
2020,Week 17,19/04/2020," 231,184 ",Y," 106,246 "," 84,412 ",,,,,,,,,,,,,,,,
2020,Week 18,26/04/2020," 276,982 ",Y," 109,459 "," 106,090 ",,,,,,,,,,,,,,,,
2020,Week 19,03/05/2020," 244,058 ",Y," 109,391 "," 96,285 ",,,,,,,,,,,,,,,,
2020,Week 20,10/05/2020," 281,348 ",Y," 119,716 "," 115,579 ",,,,,,,,,,,,,,,,
2020,Week 21,17/05/2020," 255,226 ",Y," 106,249 "," 104,040 ",,,,,,,,,,,,,,,,
2020,Week 22,24/05/2020," 299,567 ",Y," 111,028 "," 133,746 ",,,,,,,,,,,,,,,,
2020,Week 23,31/05/2020," 278,800 ",Y," 115,580 "," 121,249 ",,,,,,,,,,,,,,,,
2020,Week 24,07/06/2020," 296,335 ",Y," 122,561 "," 129,916 ",,,,,,,,,,,,,,,,
2020,Week 25,14/06/2020," 255,112 ",Y," 105,924 "," 110,954 ",,,,,,,,,,,,,,,,
2020,Week 26,21/06/2020," 256,615 ",Y," 97,094 "," 123,108 ",,,,,,,,,,,,,,,,
2020,Week 27,28/06/2020," 236,287 ",Y," 80,405 "," 118,482 ",,,,,,,,,,,,,,,,
2020,Week 28,05/07/2020," 244,342 ",Y," 87,187 "," 118,638 ",,,,,,,,,,,,,,,,
2020,Week 29,12/07/2020," 250,590 ",Y," 94,974 "," 121,665 ",,,,,,,,,,,,,,,,
2020,Week 30,19/07/2020," 223,757 ",Y," 83,103 "," 109,271 ",,,,,,,,,,,,,,,,
2020,Week 31,26/07/2020," 238,673 ",Y," 88,592 "," 115,832 ",,,,,,,,,,,,,,,,
2020,Week 32,02/08/2020," 239,827 ",Y," 93,785 "," 114,110 ",,,,,,,,,,,,,,,,
2020,Week 33,09/08/2020," 219,279 ",Y," 84,000 "," 103,901 ",,,,,,,,,,,,,,,,
2020,Week 34,16/08/2020," 241,007 ",Y," 86,466 "," 121,113 ",,,,,,,,,,,,,,,,
2020,Week 35,23/08/2020," 273,677 ",Y," 72,144 "," 116,564 ",,,,,,,,,,,,,,,,
2020,Week 36,30/08/2020," 227,918 ",Y," 85,100 "," 112,050 ",,,,,,,,,,,,,,,,
2020,Week 37,06/09/2020," 207,670 ",Y," 73,695 "," 96,760 ",,,,,,,,,,,,,,,,
2020,Week 38,13/09/2020," 207,320 ",Y," 75,856 "," 94,094 ",,,,,,,,,,,,,,,,
2020,Week 39,20/09/2020," 207,918 ",Y," 81,451 "," 93,923 ",,,,,,,,,,,,,,,,
2020,Week 40,27/09/2020," 186,004 ",Y," 75,523 "," 82,615 ",,,,,,,,,,,,,,,,
2020,Week 41,04/10/2020," 182,924 ",Y," 74,958 "," 78,776 ",,,,,,,,,,,,,,,,
2020,Week 42,11/10/2020," 159,246 ",Y," 66,941 "," 65,208 ",,,,,,,,,,,,,,,,
2020,Week 43,18/10/2020," 141,404 ",Y," 66,721 "," 56,905 ",,,,,,,,,,,,,,,,
2020,Week 44,25/10/2020," 147,907 ",Y," 95,193 "," 42,349 ",,,,,,,,,,,,,,,,
2020,Week 45,01/11/2020," 154,502 ",Y," 61,197 "," 70,493 ",,,,,,,,,,,,,,,,
2020,Week 46,08/11/2020," 155,805 ",Y," 96,682 "," 46,105 ",,,,,,,,,,,,,,,,
2020,Week 47,15/11/2020," 97,835 ",Y,,,,,,,,,,,,,,,,,,
2020,Week 48,22/11/2020," 101,036 ",Y,,,,,,,,,,,,,,,,,,
2020,Week 49,29/11/2020," 84,123 ",Y,,,,,,,,,,,,,,,,,,
2020,Week 50,06/12/2020," 92,126 ",Y,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
